Rank	Protein	Degree
356	Q9Y618	8
357	Q12931	8
358	P46940	8
359	P49959	8
360	Q8WWY3	8
361	Q12888	8
362	Q12905	8
363	Q9BYV2	8
364	P62753	8
365	P62750	8
366	P46776	8
367	P62330	8
368	P35579	8
369	Q9HB71	8
370	Q9UNN5	8
371	P52292	8
372	P23396	8
373	Q14197	8
374	P15336	8
375	P46778	8
376	Q9BWT7	8
377	O75360	8
378	P0DP25	8
379	Q3SY00	8
380	Q969P0	8
381	P62736	8
382	Q99853	8
383	Q15691	8
384	Q13885	8
385	Q9NQW6	8
386	P26196	8
387	Q08209	8
388	O00483	8
389	P49286	8
390	O00213	8
391	P62714	8
392	O43175	8
393	P46782	8
394	Q2NL82	8
395	P23258	7
396	Q15788	7
397	O43172	7
398	Q13033	7
399	Q8N4V1	7
400	P27448	7
401	A0JLT2	7
402	Q8NHQ1	7
403	P08047	7
404	P48556	7
405	P25786	7
406	Q15834	7
407	O60264	7
408	O00505	7
409	P83916	7
410	Q9BXB1	7
411	P10809	7
412	Q8IVD9	7
413	P38646	7
414	P07437	7
415	P08151	7
416	P62837	7
417	P10721	7
418	P61313	7
419	P47755	7
420	P51858	7
421	Q9BZE4	7
422	O43765	7
423	P36406	7
424	P12757	7
425	P10599	7
426	O75400	7
427	Q8IUQ4	7
428	P30153	7
429	Q96GD4	7
430	Q08AM6	7
431	Q16778	7
432	Q14790	7
433	Q13469	7
434	Q16795	7
435	Q9UGI0	7
436	O14775	7
437	Q14974	7
438	Q9H0E2	7
439	P51784	7
440	Q9Y2Z0	7
441	Q9BVJ6	7
442	P61769	7
443	Q5JR59	7
444	P49411	7
445	P05556	7
446	Q9NUX5	7
447	P31947	7
448	P61964	7
449	P49639	7
450	Q96EB6	7
451	P40227	7
452	O60566	7
453	O00139	7
454	P68363	7
455	P55795	7
456	O95782	7
457	Q00325	7
458	P62875	7
459	Q13064	7
460	P33993	7
461	P36873	7
462	Q15645	7
463	P68371	7
464	P37231	7
465	P62136	7
466	Q9BSM1	7
467	Q9UQ80	7
468	P54727	7
469	Q9UBN7	7
470	Q93008	7
471	Q9UGP4	7
472	Q5BJF6	7
473	Q00005	7
474	Q14738	7
475	P53041	7
476	O75643	7
477	O75581	7
478	O43143	7
479	P19793	7
480	Q13084	7
481	P54274	7
482	Q12906	7
483	Q9UM47	7
484	Q86TM6	7
485	O95816	7
486	P18031	7
487	O00422	7
488	P06733	7
489	P34947	7
490	O60216	7
491	O75367	7
492	Q99613	7
493	P25054	7
494	Q16594	7
495	O94906	7
496	P05141	7
497	Q13137	7
498	Q9NR12	7
499	P83731	7
500	P68366	7
501	Q9NYB0	7
502	P12004	7
503	Q9UQ35	7
504	P14866	7
505	P31943	7
506	Q8TAQ2	7
507	O43711	7
508	P45880	7
509	Q9H6Z9	7
510	P13010	7
511	Q6VAB6	7
512	P18085	7
513	Q16082	7
514	P42166	7
515	P84022	7
516	P61978	7
517	P20248	7
518	Q38SD2	7
519	Q8N163	7
520	P46531	7
521	Q92614	7
522	P34931	7
523	Q9P2P5	7
524	Q9UK80	7
525	P52597	7
526	Q8IYB3	7
527	O96019	7
528	P42345	7
529	Q9BUJ2	7
530	Q15233	7
531	P50990	7
532	O94905	7
533	Q13619	7
534	Q07955	7
535	P54725	7
536	O43318	7
537	P53350	7
538	Q5TB80	7
539	Q13077	7
540	P60033	7
541	Q15554	7
542	P24522	6
543	Q6RW13	6
544	Q9BT49	6
545	Q9GZR7	6
546	P05388	6
547	P62263	6
548	P62280	6
549	P29401	6
550	P22415	6
551	Q92830	6
552	Q9GZM8	6
553	P27635	6
554	Q9UM73	6
555	P01375	6
556	P10912	6
557	Q13643	6
558	Q08380	6
559	P62241	6
560	P07947	6
561	Q9UKX7	6
562	P08708	6
563	P82979	6
564	Q8WXA8	6
565	Q9H2C0	6
566	Q92945	6
567	Q8N6Y0	6
568	O60739	6
569	P04040	6
570	P09619	6
571	O00267	6
572	O75665	6
573	P08865	6
574	P51571	6
575	P52907	6
576	P52294	6
577	Q5TCM9	6
578	Q99471	6
579	O60749	6
580	P62879	6
581	Q96DB2	6
582	Q14315	6
583	Q08830	6
584	Q92754	6
585	P51965	6
586	P0DMV8	6
587	Q05397	6
588	Q06124	6
589	Q9ULK4	6
590	P62487	6
591	Q12952	6
592	Q9UKE5	6
593	P49815	6
594	P37802	6
595	Q9P2W3	6
596	Q9BSI4	6
597	Q9UKV0	6
598	Q99598	6
599	P14635	6
600	Q99558	6
601	Q9UBK9	6
602	Q96L14	6
603	Q9UJV9	6
604	Q63HR2	6
605	Q9Y478	6
606	P30480	6
607	Q99801	6
608	P04156	6
609	P35228	6
610	O14976	6
611	Q05519	6
612	P22626	6
613	Q13404	6
614	P62877	6
615	Q9UQE7	6
616	Q16665	6
617	O14818	6
618	Q9BQB6	6
619	Q12778	6
620	Q9Y5M8	6
621	Q9P2M7	6
622	P61244	6
623	P61254	6
624	Q96SB4	6
625	Q8TAB5	6
626	P26038	6
627	P22061	6
628	Q96KQ7	6
629	P36542	6
630	P22314	6
631	Q2KHM9	6
632	Q96EP5	6
633	O96017	6
634	P46109	6
635	Q08170	6
636	O95400	6
637	O15355	6
638	Q02539	6
639	P07355	6
640	O14640	6
641	P21912	6
642	P29597	6
643	P05161	6
644	Q00341	6
645	P49716	6
646	P13569	6
647	Q9UPP1	6
648	Q6P2Q9	6
649	P82933	6
650	P52756	6
651	Q13200	6
652	P29350	6
653	O75955	6
654	Q13490	6
655	P41252	6
656	Q14145	6
657	Q13535	6
658	O75937	6
659	Q9NZC7	6
660	Q8IYI6	6
661	O15111	6
662	P25098	6
663	O95402	6
664	Q9HAW0	6
665	P63165	6
666	Q9NWA0	6
667	P26358	6
668	Q01201	6
669	Q9H444	6
